photoperiod,HypocotylLength_wt,HypocotylLength_YHB,HypocotylLength_elf3,HypocotylLength_elf3YHB,DaysToFlower_wt,DaysToFlower_YHB,DaysToFlower_elf3,DaysToFlower_elf3YHB
0,6.21982948434724,2.42922641613767,8.0497526054437,2.74365399609928,90,90,90,90
1,4.80145740660871,2.4292320165745,7.98030736432385,2.64961596230768,90,90,90,90
2,4.44612723082724,2.42924508700773,7.80396400288369,2.63646873890127,90,90,90,87
3,4.17858699596954,2.42922245985486,7.59650207772004,2.62338835666627,90,90,72,71
4,3.98622006335204,2.42918755062035,7.37577564272702,2.61033291514653,90,90,62,62
5,3.83377658602493,2.42914584846473,7.14724913139378,2.59717058414585,90,89,56,55
6,3.70672885814125,2.42910482528714,6.91654430977215,2.58415148034642,83,81,50,50
7,3.59161310281067,2.42906934633326,6.68456057796835,2.57101088093391,76,73,46,46
8,3.48770356444551,2.42904106939842,6.45160472299804,2.5579176316767,70,65,43,43
9,3.38682907589302,2.42901990380841,6.21775097881319,2.54484093335733,64,58,40,40
10,3.29225563737607,2.42900446923013,5.98236697105362,2.53176118170567,57,51,37,37
11,3.2055237798286,2.42899310225411,5.74879527421577,2.5186176380255,48,44,35,35
12,3.1317529541444,2.42898449199524,5.51423261046365,2.50564834948242,40,38,33,33
13,3.07338380860715,2.42897766330711,5.27773225125363,2.49279291813417,34,34,31,31
14,3.02126544010842,2.42897197791979,5.03892284318735,2.48006019811683,31,31,29,29
15,2.9562351980223,2.42896695971684,4.79697423433101,2.46783198329203,29,29,28,28
16,2.86181605674716,2.42896242331711,4.54990678324537,2.45631947714733,27,27,27,27
17,2.72559729259099,2.42895813558246,4.28922606715665,2.44611004628683,26,26,25,25
18,2.58234246353016,2.42895424860572,3.99551974374444,2.43806185159493,25,25,24,24
19,2.47819853676715,2.42895094885723,3.62838976870581,2.43277265246469,24,24,23,23
20,2.43694589566558,2.42894863667927,3.05063228403332,2.43017301866156,23,23,23,23
