photoperiod,HypocotylLength_wt,HypocotylLength_YHB,HypocotylLength_elf3,HypocotylLength_elf3YHB,DaysToFlower_wt,DaysToFlower_YHB,DaysToFlower_elf3,DaysToFlower_elf3YHB
0,6.21980945449312,2.84032466998068,6.21980945449312,3.0624901177028,90,90,90,90
1,5.79541073473274,2.84047848272851,6.20098836515568,2.99580647500058,90,90,90,90
2,5.64190181090059,2.84084311232255,6.10569126675707,2.98649354231174,90,90,90,90
3,5.39237859678535,2.84076711062275,5.98531669535906,2.97724336570884,90,90,75,75
4,5.10723558654079,2.84046641006991,5.85474951886425,2.96789761810882,90,90,64,64
5,4.80795875156612,2.84007499676598,5.71919586109449,2.95866127544314,90,90,56,56
6,4.46258292661313,2.83977006375898,5.58053192433848,2.94938044228789,83,83,51,51
7,3.91112587362599,2.83959545534241,5.44054163041848,2.94006105400489,76,76,46,46
8,3.51606084569492,2.83950864852919,5.30062398875517,2.93078334624499,70,70,43,43
9,3.3602056570405,2.83946275917171,5.16013843963408,2.92147559480409,65,65,40,40
10,3.26641922030885,2.83943132488331,5.01981006343811,2.91223389496258,59,59,37,37
11,3.17678590440129,2.83940567072987,4.87801534408523,2.9029794607518,50,50,35,35
12,3.07856238797912,2.83938433636184,4.73660558360235,2.89372922759311,40,40,33,33
13,2.99378043923793,2.83936849195786,4.59431890951231,2.88460499140985,33,33,31,31
14,2.93184491178466,2.83935782499548,4.45163929748189,2.87562392652747,30,30,29,29
15,2.89120408383698,2.83935107589885,4.3065605737328,2.8669169368679,28,28,28,28
16,2.86603656591209,2.83934679380461,4.15716448716059,2.85873554981054,27,27,27,27
17,2.85121387261873,2.83934394095098,3.99957630895854,2.8515130815582,26,26,25,25
18,2.84338110030659,2.83934193517032,3.8242464365743,2.84577734325952,25,25,24,24
19,2.84019167546963,2.83934045798448,3.60399009936776,2.84204203839156,24,24,23,23
20,2.83942894437057,2.83933929966376,3.25484339247615,2.84019946307436,23,23,23,23
